Thread   Start(us)  B/E     Dur(us)  Name/Detail
  5846  2417488482  END           5  (A) SymbolTableAnalysis
  5846  2417488483  END           9  CheckLifetimes
  5846  2419144573  BEG        4617  AnnotateKernels
  5846  2419149191  END        4617  AnnotateKernels
  5846  2419149196  BEG        1093  VerifyKernels
  5846  2419150290  END        1093  VerifyKernels
  5846  2419150293  BEG        6684  LowerSemanticCF
  5846  2419156977  END        6684  LowerSemanticCF
  5846  2419156981  BEG       87694  CheckLifetimes
  5846  2419160748  BEG          25  (A) SymbolTableAnalysis
  5846  2419160773  END          25  (A) SymbolTableAnalysis
  5846  2419244675  END       87694  CheckLifetimes
  5846  2822567013  BEG        4246  AnnotateKernels
  5846  2822571260  END        4246  AnnotateKernels
  5846  2822571264  BEG        1313  VerifyKernels
  5846  2822572577  END        1313  VerifyKernels
  5846  2822572581  BEG        6706  LowerSemanticCF
  5846  2822579287  END        6706  LowerSemanticCF
  5846  2822579290  BEG       85149  CheckLifetimes
  5846  2822582546  BEG          21  (A) SymbolTableAnalysis
  5846  2822582567  END          21  (A) SymbolTableAnalysis
  5846  2822664439  END       85149  CheckLifetimes
  5846  3275182794  BEG           4  AnnotateKernels
  5846  3275182798  END           4  AnnotateKernels
  5846  3275182800  BEG           1  VerifyKernels
  5846  3275182802  END           1  VerifyKernels
  5846  3275182804  BEG           1  LowerSemanticCF
  5846  3275182805  END           1  LowerSemanticCF
  5846  3275182807  BEG           9  CheckLifetimes
  5846  3275182810  BEG           5  (A) SymbolTableAnalysis
  5846  3275182815  END           5  (A) SymbolTableAnalysis
  5846  3275182816  END           9  CheckLifetimes
  5846  3276747886  BEG           4  AnnotateKernels
  5846  3276747890  END           4  AnnotateKernels
  5846  3276747893  BEG           1  VerifyKernels
  5846  3276747894  END           1  VerifyKernels
  5846  3276747896  BEG           1  LowerSemanticCF
  5846  3276747898  END           1  LowerSemanticCF
  5846  3276747900  BEG          10  CheckLifetimes
  5846  3276747904  BEG           4  (A) SymbolTableAnalysis
  5846  3276747909  END           4  (A) SymbolTableAnalysis
  5846  3276747910  END          10  CheckLifetimes
  5846  3304279772  BEG           3  AnnotateKernels
  5846  3304279776  END           3  AnnotateKernels
  5846  3304279778  BEG           1  VerifyKernels
  5846  3304279780  END           1  VerifyKernels
  5846  3304279782  BEG           1  LowerSemanticCF
  5846  3304279784  END           1  LowerSemanticCF
  5846  3304279787  BEG          10  CheckLifetimes
  5846  3304279790  BEG           5  (A) SymbolTableAnalysis
  5846  3304279795  END           5  (A) SymbolTableAnalysis
  5846  3304279797  END          10  CheckLifetimes
  5846  3333216672  BEG        3940  AnnotateKernels
  5846  3333220612  END        3940  AnnotateKernels
  5846  3333220615  BEG        1103  VerifyKernels
  5846  3333221719  END        1103  VerifyKernels
  5846  3333221722  BEG        7321  LowerSemanticCF
  5846  3333229043  END        7321  LowerSemanticCF
  5846  3333229048  BEG       84984  CheckLifetimes
  5846  3333232565  BEG          20  (A) SymbolTableAnalysis
  5846  3333232585  END          20  (A) SymbolTableAnalysis
  5846  3333314032  END       84984  CheckLifetimes
  5846  3422345400  BEG        3958  AnnotateKernels
  5846  3422349358  END        3958  AnnotateKernels
  5846  3422349361  BEG         889  VerifyKernels
  5846  3422350251  END         889  VerifyKernels
  5846  3422350253  BEG        6735  LowerSemanticCF
  5846  3422356989  END        6735  LowerSemanticCF
  5846  3422356993  BEG      167714  CheckLifetimes
  5846  3422360374  BEG          21  (A) SymbolTableAnalysis
  5846  3422360395  END          21  (A) SymbolTableAnalysis
  5846  3422524708  END      167714  CheckLifetimes
  5846  3451162553  BEG           3  AnnotateKernels
  5846  3451162557  END           3  AnnotateKernels
  5846  3451162559  BEG           1  VerifyKernels
  5846  3451162560  END           1  VerifyKernels
  5846  3451162562  BEG           1  LowerSemanticCF
  5846  3451162563  END           1  LowerSemanticCF
  5846  3451162565  BEG           9  CheckLifetimes
  5846  3451162568  BEG           5  (A) SymbolTableAnalysis
  5846  3451162573  END           5  (A) SymbolTableAnalysis
  5846  3451162575  END           9  CheckLifetimes
  5846  3542560117  BEG        6243  AnnotateKernels
  5846  3542566361  END        6243  AnnotateKernels
  5846  3542566368  BEG        1507  VerifyKernels
  5846  3542567875  END        1507  VerifyKernels
  5846  3542567881  BEG        7763  LowerSemanticCF
  5846  3542575645  END        7763  LowerSemanticCF
  5846  3542575650  BEG      104132  CheckLifetimes
  5846  3542579426  BEG          36  (A) SymbolTableAnalysis
  5846  3542579463  END          36  (A) SymbolTableAnalysis
  5846  3542679782  END      104132  CheckLifetimes
  5846  3544575900  BEG        4798  AnnotateKernels
  5846  3544580698  END        4798  AnnotateKernels
  5846  3544580703  BEG        1834  VerifyKernels
  5846  3544582537  END        1834  VerifyKernels
  5846  3544582542  BEG        8414  LowerSemanticCF
  5846  3544590957  END        8414  LowerSemanticCF
  5846  3544590961  BEG      110874  CheckLifetimes
  5846  3544594526  BEG          21  (A) SymbolTableAnalysis
  5846  3544594547  END          21  (A) SymbolTableAnalysis
  5846  3544701835  END      110874  CheckLifetimes
  5846  3617689122  BEG        4375  AnnotateKernels
  5846  3617693498  END        4375  AnnotateKernels
  5846  3617693503  BEG        1153  VerifyKernels
  5846  3617694656  END        1153  VerifyKernels
  5846  3617694659  BEG        6977  LowerSemanticCF
  5846  3617701636  END        6977  LowerSemanticCF
  5846  3617701639  BEG       84719  CheckLifetimes
  5846  3617705197  BEG          23  (A) SymbolTableAnalysis
  5846  3617705220  END          23  (A) SymbolTableAnalysis
  5846  3617786358  END       84719  CheckLifetimes
  5846  3619386774  BEG        4517  AnnotateKernels
  5846  3619391292  END        4517  AnnotateKernels
  5846  3619391297  BEG        1274  VerifyKernels
  5846  3619392571  END        1274  VerifyKernels
  5846  3619392575  BEG        6992  LowerSemanticCF
  5846  3619399567  END        6992  LowerSemanticCF
  5846  3619399571  BEG       86470  CheckLifetimes
  5846  3619403096  BEG          22  (A) SymbolTableAnalysis
  5846  3619403119  END          22  (A) SymbolTableAnalysis
  5846  3619486041  END       86470  CheckLifetimes
  5846  3778484891  BEG           3  AnnotateKernels
  5846  3778484895  END           3  AnnotateKernels
  5846  3778484897  BEG           1  VerifyKernels
  5846  3778484899  END           1  VerifyKernels
  5846  3778484900  BEG           1  LowerSemanticCF
  5846  3778484902  END           1  LowerSemanticCF
  5846  3778484904  BEG           8  CheckLifetimes
  5846  3778484907  BEG           4  (A) SymbolTableAnalysis
  5846  3778484911  END           4  (A) SymbolTableAnalysis
  5846  3778484913  END           8  CheckLifetimes
